channel_id,channel_name,subscriber_count,rss_url
UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,11600000,https://www.youtube.com/feeds/videos.xml?channel_id=UC8butISFwT-Wl7EV0hUK0BQ
UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,6580000,https://www.youtube.com/feeds/videos.xml?channel_id=UCoOae5nYA7VqaXzerajD0lg
UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,6580000,https://www.youtube.com/feeds/videos.xml?channel_id=UC1yBKRuGpC1tSM73A0ZjYjQ
UC9x0AN7BWHpCDHSm9NiJFJQ,NetworkChuck,5230000,https://www.youtube.com/feeds/videos.xml?channel_id=UC9x0AN7BWHpCDHSm9NiJFJQ
UCsBjURrPoezykLs9EqgamOA,Fireship,4190000,https://www.youtube.com/feeds/videos.xml?channel_id=UCsBjURrPoezykLs9EqgamOA
UCs6nmQViDpUw0nuIx9c_WvA,ProgrammingKnowledge,1870000,https://www.youtube.com/feeds/videos.xml?channel_id=UCs6nmQViDpUw0nuIx9c_WvA
UCW5YeuERMmlnqo4oq8vwUpg,Net Ninja,1870000,https://www.youtube.com/feeds/videos.xml?channel_id=UCW5YeuERMmlnqo4oq8vwUpg
UCNU_lfiiWBdtULKOw6X0Dig,Krish Naik,1410000,https://www.youtube.com/feeds/videos.xml?channel_id=UCNU_lfiiWBdtULKOw6X0Dig
UCUyeluBRhGPCW4rPe_UvBZQ,The PrimeTime,1100000,https://www.youtube.com/feeds/videos.xml?channel_id=UCUyeluBRhGPCW4rPe_UvBZQ
UCqyBfm_H9ugGirk1ufYA2YA,Learn Skills Daily,1040000,https://www.youtube.com/feeds/videos.xml?channel_id=UCqyBfm_H9ugGirk1ufYA2YA
UChpleBmo18P08aKCIgti38g,Matt Wolfe,933000,https://www.youtube.com/feeds/videos.xml?channel_id=UChpleBmo18P08aKCIgti38g
UC2ojq-nuP8ceeHqiroeKhBA,Nate Herk | AI Automation,684000,https://www.youtube.com/feeds/videos.xml?channel_id=UC2ojq-nuP8ceeHqiroeKhBA
UCPjNBjflYl0-HQtUvOx0Ibw,Greg Isenberg,613000,https://www.youtube.com/feeds/videos.xml?channel_id=UCPjNBjflYl0-HQtUvOx0Ibw
UCrDwWp7EBBv4NwvScIpBDOA,Anthropic,554000,https://www.youtube.com/feeds/videos.xml?channel_id=UCrDwWp7EBBv4NwvScIpBDOA
UCbRP3c757lWg9M-U7TyEkXA,Theo - t3․gg,529000,https://www.youtube.com/feeds/videos.xml?channel_id=UCbRP3c757lWg9M-U7TyEkXA
UCvG9V9e1s2lN-hoWeHsDCJQ,Tyler Moore,472000,https://www.youtube.com/feeds/videos.xml?channel_id=UCvG9V9e1s2lN-hoWeHsDCJQ
UCLKPca3kwwd-B59HNr-_lvA,AI Engineer,415000,https://www.youtube.com/feeds/videos.xml?channel_id=UCLKPca3kwwd-B59HNr-_lvA
UC1Wn8F-xff2j4hR9ZZ1UsyA,Claude Ams - Programming Guru 💻,412000,https://www.youtube.com/feeds/videos.xml?channel_id=UC1Wn8F-xff2j4hR9ZZ1UsyA
UCi8C7TNs2ohrc6hnRQ5Sn2w,Kai Lentit,350000,https://www.youtube.com/feeds/videos.xml?channel_id=UCi8C7TNs2ohrc6hnRQ5Sn2w
UCwSozl89jl2zUDzQ4jGJD3g,Skill Leap AI,326000,https://www.youtube.com/feeds/videos.xml?channel_id=UCwSozl89jl2zUDzQ4jGJD3g
UCNbdZwVJrNJJuQWjZFLxWmQ,Leonard Jo,301000,https://www.youtube.com/feeds/videos.xml?channel_id=UCNbdZwVJrNJJuQWjZFLxWmQ
UCMcoud_ZW7cfxeIugBflSBw,Riley Brown,218000,https://www.youtube.com/feeds/videos.xml?channel_id=UCMcoud_ZW7cfxeIugBflSBw
UCV03SRZXJEz-hchIAogeJOg,Claude,203000,https://www.youtube.com/feeds/videos.xml?channel_id=UCV03SRZXJEz-hchIAogeJOg
UCMwVTLZIRRUyyVrkjDpn4pA,Cole Medin,202000,https://www.youtube.com/feeds/videos.xml?channel_id=UCMwVTLZIRRUyyVrkjDpn4pA
UCfQNB91qRP_5ILeu_S_bSkg,Alex Finn,190000,https://www.youtube.com/feeds/videos.xml?channel_id=UCfQNB91qRP_5ILeu_S_bSkg
UCJFMlSxcvlZg5yZUYJT0Pug,corbin,167000,https://www.youtube.com/feeds/videos.xml?channel_id=UCJFMlSxcvlZg5yZUYJT0Pug
UCelfWQr9sXVMTvBzviPGlFw,AI LABS,131000,https://www.youtube.com/feeds/videos.xml?channel_id=UCelfWQr9sXVMTvBzviPGlFw
UC_x36zCEGilGpB1m-V4gmjg,IndyDevDan,129000,https://www.youtube.com/feeds/videos.xml?channel_id=UC_x36zCEGilGpB1m-V4gmjg
UC0m81bQuthaQZmFbXEY9QSw,AICodeKing,127000,https://www.youtube.com/feeds/videos.xml?channel_id=UC0m81bQuthaQZmFbXEY9QSw
UCe4eqh2Rs4bkjDRrjZQWkZw,Pragati Kunwer | Claude Code,113000,https://www.youtube.com/feeds/videos.xml?channel_id=UCe4eqh2Rs4bkjDRrjZQWkZw
